id,topic,difficulty,question,option_a,option_b,option_c,option_d,answer,explanation,,,,,,,,,,,,,
20,Operating Systems,medium,Which of the following is an example of a system call?,Adding two numbers,Defining a variable,Creating a new file,Calling a function from a library,c,"System calls are the interface between a process and the operating system. Creating a new file requires the process to request a service from the OS kernel, which is done via a system call.",,,,,,,,,,,,,
21,Python,easy,What is the correct syntax for an if statement in Python?,if x > 5:,if (x > 5),if x > 5;,if x > 5 then,a,The correct syntax for an if statement in Python is the 'if' keyword followed by the condition and a colon. Parentheses are not required and a semicolon is incorrect.,,,,,,,,,,,,,
22,Python,easy,How do you convert a list to a tuple?,tuple(my_list),list_to_tuple(my_list),my_list.to_tuple(),tuple.new(my_list),a,"The built-in `tuple()` function is used to convert an iterable, like a list, into a tuple.",,,,,,,,,,,,,
24,Python,easy,What is the purpose of the 'break' statement in a loop?,To skip the current iteration,To exit the loop entirely,To start the loop from the beginning,To raise an error,b,The 'break' statement is used to terminate the current loop and transfer control to the statement immediately following the loop.,,,,,,,,,,,,,
25,Python,easy,How do you write a 'for' loop that iterates through a list named 'fruits'?,for fruit in fruits:,for fruits in fruit:,for (fruit in fruits):,loop over fruits:,a,"The correct and most common syntax for a 'for' loop in Python is 'for item in iterable:', which makes the code readable and concise.",,,,,,,,,,,,,
26,Python,medium,What does the 'self' keyword represent in a class method?,The class itself,The name of the method,The instance of the class,A global variable,c,The 'self' keyword represents the instance of the class that the method is being called on. It is a convention and the first parameter of any instance method.,,,,,,,,,,,,,
27,Python,medium,What is the result of `print(0.1 + 0.2 == 0.3)`?,TRUE,FALSE,Error,None,b,"Due to floating-point representation limitations, 0.1 + 0.2 results in a value like 0.30000000000000004, which is not exactly equal to 0.3, so the expression evaluates to False.",,,,,,,,,,,,,
28,Python,medium,How can you make a variable accessible from anywhere within a function and its nested functions?,Using the `local` keyword,Using the `global` keyword,Using the `nonlocal` keyword,Using the `static` keyword,c,"The `nonlocal` keyword is used in nested functions to indicate that a variable being assigned to is not local to the nested function and is instead in the outer, non-global scope.",,,,,,,,,,,,,
29,Python,medium,What is the purpose of the `__init__` method?,To initialize a module,To define the class,To initialize an object's attributes,To destroy an object,c,"The `__init__` method is the constructor in Python. It is called automatically when a new instance of the class is created, allowing you to initialize the object's attributes.",,,,,,,,,,,,,
30,Python,medium,"What is a ""lambda"" function?",A function without a name,A function that takes a list as input,A function that returns a boolean,A function that modifies its arguments,a,"A lambda function is a small, anonymous (nameless) function that can take any number of arguments, but can only have one expression.",,,,,,,,,,,,,
31,Python,hard,What is a metaclass in Python?,A class that inherits from another class,A class that can create other classes,A class that cannot be instantiated,A class used for type checking,b,"A metaclass is a class whose instances are classes. It allows you to control the creation and behavior of classes, serving as the 'class of a class'.",,,,,,,,,,,,,
32,Python,hard,What is the purpose of the `yield` keyword in a function?,To return a value and terminate the function,To return a value and save the function's state,To raise an error,To define a class method,b,"The `yield` keyword is used to create a generator. It returns a value to the caller and pauses the function's execution, saving its state for the next call. The function can then resume from where it left off.",,,,,,,,,,,,,
33,Python,hard,How does Python's Garbage Collector primarily work?,Using a reference counting mechanism,Using a mark-and-sweep algorithm,Using a combination of reference counting and a cycle detector,Using a stop-and-copy algorithm,c,"Python primarily uses a reference counting system, but to deal with reference cycles (where objects refer to each other and their reference counts never drop to zero), it also employs a separate garbage collector that finds and collects these cycles.",,,,,,,,,,,,,
34,Python,hard,What is the purpose of the `*args` and `**kwargs` syntax in function definitions?,To pass a list and a dictionary as arguments,To pass an arbitrary number of positional and keyword arguments,To unpack a list and a dictionary,To force a function to use keyword arguments,b,"The `*args` syntax allows a function to accept an arbitrary number of positional arguments as a tuple, while `**kwargs` allows it to accept an arbitrary number of keyword arguments as a dictionary.",,,,,,,,,,,,,
36,SQL,easy,Which clause is used to filter records in a SQL query?,FILTER BY,WHERE,LIMIT,GROUP BY,b,"The WHERE clause is used to filter rows that meet a specified condition. It appears after the FROM clause and before GROUP BY, ORDER BY, or LIMIT.",,,,,,,,,,,,,
37,SQL,easy,Which SQL command is used to delete a table from a database?,REMOVE TABLE,DELETE TABLE,DROP TABLE,ERASE TABLE,c,The DROP TABLE statement is used to permanently remove a table definition and all its data from a database.,,,,,,,,,,,,,
38,SQL,easy,What does the SQL keyword `AS` do?,It creates an alias for a table or column,It is used for sorting in ascending order,It checks for a specific condition,It defines a new column in a table,a,"The `AS` keyword is used to assign a temporary name, or alias, to a table or a column in a query, making the results easier to read.",,,,,,,,,,,,,
39,SQL,easy,How do you select all columns from a table named 'Employees'?,SELECT * FROM Employees,SELECT all FROM Employees,SELECT columns FROM Employees,GET * FROM Employees,a,The asterisk (*) is a wildcard character in SQL that represents all columns in a table. The correct syntax is SELECT followed by the wildcard and the table name.,,,,,,,,,,,,,
40,SQL,easy,Which SQL function is used to find the average value of a numeric column?,AVG(),AVERAGE(),MEAN(),SUM(),a,The `AVG()` aggregate function is used to calculate the average value of a set of values in a column.,,,,,,,,,,,,,
41,SQL,medium,What is the purpose of the `GROUP BY` clause?,To filter rows based on a condition,To combine rows with the same values into summary rows,To sort the result set,To join multiple tables together,b,"The `GROUP BY` clause is used with aggregate functions (like COUNT, SUM, AVG) to group rows that have the same values in specified columns into summary rows.",,,,,,,,,,,,,
42,SQL,medium,Which join returns all rows from the left table and the matched rows from the right table?,,INNER JOIN,RIGHT JOIN,LEFT JOIN,c,"A LEFT JOIN returns all rows from the left table and the matching rows from the right table. If there is no match, the columns from the right table will have NULL values.",,,,,,,,,,,,,
43,SQL,medium,What is a subquery?,A query within a function,A query within another query,A query used to create a view,A query that modifies data,b,"A subquery (or nested query) is a query embedded within another SQL query. It can be used to return a single value, a single row, or a table of values.",,,,,,,,,,,,,
44,SQL,medium,What does the `HAVING` clause do?,Filters rows before grouping,Filters rows after grouping,Used with WHERE for more complex filtering,It is a deprecated keyword,b,"The `HAVING` clause is used to filter the results of a `GROUP BY` clause, allowing you to filter based on the results of aggregate functions, which the `WHERE` clause cannot do.",,,,,,,,,,,,,
45,SQL,medium,What is the purpose of an index in a database?,To define data types for columns,To prevent duplicate data,To speed up data retrieval,To enforce data integrity,c,"An index is a data structure that improves the speed of data retrieval operations on a database table. It works like an index in a book, providing a quick way to look up data without scanning the entire table.",,,,,,,,,,,,,
46,SQL,hard,What is the difference between `UNION` and `UNION ALL`?,UNION removes duplicates while UNION ALL keeps duplicates,UNION is faster than UNION ALL,UNION requires the same number of columns, while UNION ALL does not and  UNION is used for sorting,a,"`UNION` combines the results of two or more SELECT statements and removes duplicate rows. `UNION ALL` also combines results, but it includes all rows, including duplicates, making it generally faster.",,,,,,,,,,,,,
47,SQL,hard,"What is a ""self-join""?",A join on a table with itself,A join that doesn't require a key,A join used for recursive queries,A join that combines two different tables,a,"A self-join is a regular join that joins a table to itself. This is useful when you need to combine rows from the same table, for example, to find an employee's manager who is also in the same `employees` table.",,,,,,,,,,,,,
48,SQL,hard,How can you find the second highest salary from an 'employees' table without using `LIMIT` or `TOP`?,Using a subquery with `MAX` and a `WHERE` clause,Using `OFFSET` and `FETCH`,Using `RANK()` or `DENSE_RANK()`,Using `GROUP BY` and `HAVING`,c,The `RANK()` or `DENSE_RANK()` window functions are a common way to solve this. You can rank the salaries in descending order and then filter for the row with a rank of 2. This is a more flexible and standard-compliant approach.,,,,,,,,,,,,,
49,SQL,hard,"What is a ""window function"" in SQL?",A function that operates on a set of rows and returns a single value,A function that operates on a set of rows and returns a value for each row,A function that is used with `GROUP BY`,A function that can only be used with subqueries,b,"A window function performs an aggregate-like calculation (like SUM or AVG) across a set of table rows that are related to the current row, returning a value for each row in the window. Unlike an aggregate function with `GROUP BY`, it does not collapse the rows into a single output row.",,,,,,,,,,,,,
50,SQL,hard,What is the purpose of `ACID` properties in a database transaction?,To ensure security and user authentication,To ensure that transactions are processed reliably,To optimize query performance,To manage the data schema,b,"ACID stands for Atomicity, Consistency, Isolation, and Durability. These are a set of properties that guarantee that database transactions are processed reliably, even in the event of failures or errors.",,,,,,,,,,,,,
51,Web Development,easy,Which HTML tag is used to create a hyperlink?,<link>,<href>,<a>,<url>,c,The `<a>` tag is used to create a hyperlink in HTML. The URL is specified using the `href` attribute.,,,,,,,,,,,,,
52,Web Development,easy,What is the correct way to link an external CSS file to an HTML document?,<style src='styles.css'>,<link href='styles.css'>,<script src='styles.css'>,<css href='styles.css'>,b,"The `<link>` tag is used in the `<head>` section of an HTML document to link to an external CSS file, using the `href` attribute to specify the file path.",,,,,,,,,,,,,
53,Web Development,easy,Which of the following is NOT a JavaScript data type?,String,Boolean,Integer,Number,c,"While JavaScript has an integer concept, it does not have a separate 'Integer' data type. Integers are a subset of the 'Number' data type.",,,,,,,,,,,,,
54,Web Development,easy,What is the purpose of a `<div>` tag?,To create a button,To define a division or section in an HTML document,To link to a stylesheet,To display an image,b,"The `<div>` tag is a block-level element used as a generic container for flow content, often used to group other elements for styling with CSS or manipulation with JavaScript.",,,,,,,,,,,,,
55,Web Development,easy,"How do you write ""Hello World"" in an alert box using JavaScript?","alertBox(""Hello World"");","msg(""Hello World"");","alert(""Hello World"");","msgBox(""Hello World"");",c,The `alert()` function is a built-in browser function in JavaScript that creates a pop-up alert box with the specified message.,,,,,,,,,,,,,
57,Web Development,medium,What is the purpose of the `viewport` meta tag in HTML?,To set the initial zoom level for the webpage on a mobile device,To define the dimensions of the entire webpage,To create an image gallery,To link to a video file,a,The viewport meta tag is used to control the layout and scaling of a webpage on mobile devices. It's a key component of responsive web design.,,,,,,,,,,,,,
58,Web Development,medium,How do you declare a variable with block scope in JavaScript?,using `var`,using `let`,using `const`,Both B and C,d,The `let` and `const` keywords were introduced in ES6 (2015) to provide block-scoped variable declaration. `var` is function-scoped.,,,,,,,,,,,,,
59,Web Development,medium,What is the box model in CSS?,A model for creating 3D boxes,A conceptual model of how elements are rendered on a web page,A model for creating flexible layouts,A model for aligning text,b,"The CSS box model describes how the browser renders elements. It consists of the content, padding, border, and margin, which combine to determine the final size and spacing of an element.",,,,,,,,,,,,,
60,Web Development,medium,What is 'event bubbling' in JavaScript?,When an event listener is called multiple times,When an event propagates from a child element up to its parent elements,When an event is captured by the parent element before the child,When an event is cancelled by the browser,b,"Event bubbling is a mechanism where an event that occurs on a child element first is then propagated up through the DOM tree, triggering event listeners on its parent, grandparent, and so on, up to the document root.",,,,,,,,,,,,,
62,Web Development,hard,What is the purpose of a 'closure' in JavaScript?,To prevent a variable from being garbage-collected,To encapsulate a variable and maintain its state after the outer function has returned,To make a variable globally accessible,To create a private class member,b,"A closure is the combination of a function bundled together with references to its surrounding state (its lexical environment). It gives you access to an outer function's scope from an inner function, even after the outer function has finished executing.",,,,,,,,,,,,,
63,Web Development,hard,What is 'hoisting' in JavaScript?,The ability to move a variable declaration to the top of its scope,The process of linking a stylesheet,The process of compiling a script,The ability to call a function before it is defined,a,"Hoisting is JavaScript's default behavior of moving declarations (but not initializations) to the top of the current scope, so variables and functions can be used before they are declared.",,,,,,,,,,,,,
65,Web Development,hard,What is the role of a Service Worker in web development?,To manage cookies and sessions,To provide a user interface for web apps,To handle push notifications and offline caching,To manage the server-side logic of a web app,c,"A Service Worker is a JavaScript file that runs in the background of a web page. It acts as a proxy between the browser and the network, enabling offline functionality, caching assets, and handling push notifications.",,,,,,,,,,,,,
66,Data Structures,hard,What is the time complexity of searching for an element in a binary search tree in the worst case?,O(1),O(n),O(log n),O(n log n),b,"In the worst case, a binary search tree can degenerate into a linked list (e.g., if elements are inserted in sorted order), making the search operation linear, with a complexity of O(n).",,,,,,,,,,,,,
67,Data Structures,hard,What is a self-balancing binary search tree?,A tree where no node has more than one child,A tree where the height difference between the left and right subtrees of any node is at most 1,A tree where all leaves are at the same level,A tree that automatically sorts its elements,b,"A self-balancing binary search tree (like AVL or Red-Black trees) is a type of BST that automatically keeps its height as small as possible by performing rotations, ensuring that the height difference of subtrees is maintained to ensure O(log n) search time.",,,,,,,,,,,,,
68,Data Structures,hard,What is the purpose of an adjacency matrix in a graph?,To list all vertices and edges,To store the cost of traversing an edge,To represent the connections between vertices,To find the shortest path between two vertices,c,"An adjacency matrix is a 2D array used to represent a graph. A value of 1 or more in `matrix[i][j]` indicates an edge between vertex 'i' and vertex 'j', while a 0 indicates no edge.",,,,,,,,,,,,,
69,Data Structures,hard,Which sorting algorithm has a worst-case time complexity of O(n^2) but is generally faster on small arrays and nearly sorted data?,Quick Sort,Merge Sort,Insertion Sort,Bubble Sort,c,"Insertion Sort has a worst-case time complexity of O(n^2), but it is very efficient on small datasets or when the data is nearly sorted because it performs fewer comparisons and swaps.",,,,,,,,,,,,,
70,Data Structures,hard,What is the time complexity of the `dequeue` operation on a queue implemented using a circular array?,O(1),O(n),O(log n),O(n^2),a,"A circular array-based queue can perform both enqueue and dequeue operations in constant time, O(1), by simply updating the front or rear pointers (or indices).",,,,,,,,,,,,,
71,Operating Systems,easy,Which component of an OS manages memory and processes?,File System,Scheduler,Kernel,User Interface,c,"The kernel is the central component of an operating system. It manages core resources, including process scheduling, memory management, and inter-process communication.",,,,,,,,,,,,,
72,Operating Systems,easy,What is a process control block (PCB)?,A list of all processes in the system,A data structure containing a process's state and context,A memory block reserved for system processes,The area of memory where a process's code is stored,b,"A Process Control Block (PCB) is a data structure used by the OS to hold information about a process, such as its state, program counter, CPU registers, and memory management information.",,,,,,,,,,,,,
73,Operating Systems,easy,What is the purpose of the 'shell' in an operating system?,To display graphics and icons,To run the computer's hardware,To provide a command-line interface for the user,To manage the file system,c,The shell is a user interface for accessing an operating system's services. It can be a command-line interface (CLI) like Bash or a graphical user interface (GUI) like Windows Explorer.,,,,,,,,,,,,,
74,Operating Systems,easy,What is a zombie process?,A process that is still running but not responsive,A process that has finished execution but its entry remains in the process table,A process that is waiting for an I/O operation,A process that is consuming too much CPU,b,"A zombie process is a process that has completed its execution but still has an entry in the process table. Its parent process has not yet read its exit status, causing it to remain in this state.",,,,,,,,,,,,,
75,Operating Systems,easy,What is the main role of a device driver?,To manage a database,To translate commands from the OS into instructions for a hardware device,To protect against computer viruses,To optimize network performance,b,A device driver is a program that operates or controls a particular type of device that is attached to a computer. It provides the software interface to hardware devices.,,,,,,,,,,,,,
76,Database Management,easy,What is a primary key in a database table?,A key that is unique for each record,A key used to join tables,A foreign key,A key that can have duplicate values,a,A primary key is a field (or combination of fields) that uniquely identifies each record in a database table. It must contain unique values and cannot be NULL.,,,,,,,,,,,,,
77,Database Management,easy,What does the acronym DDL stand for?,Data Definition Language,Data Dictionary Language,Data Deletion Language,Database Development Language,a,"DDL stands for Data Definition Language. It includes commands like CREATE, ALTER, and DROP, which are used to define and manage database schemas.",,,,,,,,,,,,,
78,Database Management,easy,What is the purpose of a foreign key?,To uniquely identify a record,To link two tables together,To enforce data security,To index a table,b,A foreign key is a field in one table that uniquely identifies a row of another table. It establishes and enforces a link between the data in the two tables.,,,,,,,,,,,,,
79,Database Management,easy,Which database model organizes data into tables with rows and columns?,Network Model,Hierarchical Model,Relational Model,Document Model,c,"The Relational Model is the most common database model, where data is organized into tables (relations) of rows and columns. SQL is the standard language for managing relational databases.",,,,,,,,,,,,,
80,Database Management,easy,What is a database transaction?,A single read or write operation,A set of operations treated as a single logical unit of work,A table that stores log data,A query that only selects data,b,"A transaction is a sequence of one or more database operations that are treated as a single, atomic unit. All operations in a transaction must succeed for the transaction to be committed.",,,,,,,,,,,,,
81,Database Management,medium,What is the purpose of normalization in a database?,To improve query performance,To reduce data redundancy and improve data integrity,To encrypt sensitive data,To simplify the database schema,b,"Normalization is the process of organizing data in a database to reduce data redundancy and improve data integrity. It involves dividing large tables into smaller, less redundant tables.",,,,,,,,,,,,,
83,Database Management,medium,Which type of database is best suited for storing and managing unstructured data like JSON documents?,Relational Database,Graph Database,NoSQL Document Database,Key-Value Store,c,"A NoSQL Document Database (like MongoDB) is designed to store and manage semi-structured or unstructured data in a document format, typically JSON or BSON, making it ideal for flexible data schemas.",,,,,,,,,,,,,
84,Database Management,medium,What is a database index and why is it used?,A record of all database transactions; for logging,A pointer to data in a table; to enforce data integrity,A data structure to speed up data retrieval,A method for data compression,c,"A database index is a data structure (like a B-tree or hash table) that speeds up the retrieval of rows from a table by providing a quick lookup mechanism, avoiding a full table scan.",,,,,,,,,,,,,
87,Database Management,hard,"Explain the concept of ""dirty reads"" in database concurrency.",Reading data from a table that is not formatted correctly,Reading data that has been modified by a transaction that has not yet been committed,Reading data from a non-indexed table,Reading data from a user that has not been authenticated,b,"A dirty read occurs when a transaction reads data that has been written by another concurrent transaction that is not yet committed. If the uncommitted transaction is rolled back, the data read would be invalid.",,,,,,,,,,,,,
88,Database Management,hard,What is the purpose of the `GROUP BY` clause in SQL in combination with aggregate functions?,To filter rows based on a condition,To combine rows into summary rows,To sort the result set by column,To join two or more tables,b,"The `GROUP BY` clause is used to group rows that have the same values in specified columns into summary rows, typically to apply an aggregate function (like `SUM`, `AVG`, `COUNT`) to each group.",,,,,,,,,,,,,
90,Database Management,hard,"What is ""database sharding""?",The process of creating a full backup of a database,The process of replicating a database to multiple servers,The process of horizontally partitioning a database into multiple smaller databases,The process of optimizing database queries,c,"Sharding is a method of horizontally partitioning a database, meaning it divides a very large database into smaller, more manageable parts called shards. Each shard is an independent database, often on a separate server, to distribute the load.",,,,,,,,,,,,,
91,Logic Design,easy,Which logic gate's output is TRUE only when all of its inputs are TRUE?,OR Gate,NOR Gate,AND Gate,XOR Gate,c,An AND gate is a digital logic gate that implements logical conjunction. It produces a TRUE output only if all of its inputs are TRUE.,,,,,,,,,,,,,
92,Logic Design,easy,What is the binary representation of the decimal number 10?,1001,1010,1100,1101,b,"To convert 10 to binary, you divide by 2 and note the remainders: 10/2=5 R 0; 5/2=2 R 1; 2/2=1 R 0; 1/2=0 R 1. Reading the remainders from bottom to top gives 1010.",,,,,,,,,,,,,
93,Logic Design,easy,What is the output of an XOR gate when both inputs are the same?,TRUE,FALSE,The same as the input,1,b,"An XOR (Exclusive OR) gate's output is TRUE if its inputs are different and FALSE if its inputs are the same. Thus, if both inputs are 0 or both are 1, the output is FALSE.",,,,,,,,,,,,,
94,Logic Design,easy,Which law of Boolean algebra states that A + 0 = A?,Commutative Law,Identity Law,Associative Law,Distributive Law,b,The Identity Law for addition states that any variable ORed with 0 is equal to the variable itself.,,,,,,,,,,,,,
95,Logic Design,easy,What is a flip-flop?,A circuit that stores a single bit of information,A temporary storage area in the CPU,A type of logic gate,A circuit that performs an arithmetic operation,a,"A flip-flop, or latch, is a sequential logic circuit that has two stable states and is used to store state information, which is a single bit (0 or 1).",,,,,,,,,,,,,
96,Logic Design,medium,How many select lines are required for an 8-to-1 multiplexer?,1,2,3,8,c,"An 8-to-1 multiplexer selects one of its eight data inputs and routes it to the single output. The number of select lines (n) is related to the number of inputs (2^n) so 2^3 = 8, meaning 3 select lines are needed.",,,,,,,,,,,,,
97,Logic Design,medium,What is the main advantage of using a Karnaugh Map (K-map)?,It can be used for any number of variables,It is a visual method for simplifying Boolean expressions,It is a method for performing binary arithmetic,It can be used to design sequential circuits,b,"A K-map is a visual tool used to simplify Boolean algebra expressions by grouping together terms that can be simplified, which is often easier and more intuitive than using Boolean algebra laws alone.",,,,,,,,,,,,,
98,Logic Design,medium,What is the function of a 'decoder' in digital logic?,To convert a binary number to its decimal equivalent,To convert a single input to multiple outputs,To convert a multiple-bit input into a single output line,To convert a decimal number to its binary equivalent,c,"A decoder is a combinational circuit that converts a multi-bit binary input into a single output line, which is selected based on the input code. For example, a 3-to-8 decoder has 3 inputs and 8 outputs.",,,,,,,,,,,,,
99,Logic Design,medium,Which type of logic circuit's output depends on its current inputs and its past inputs (state)?,Combinational,Sequential,Arithmetic,None of the above,b,A sequential logic circuit's output is a function of its current inputs and its previous outputs. This is because it contains memory elements (like flip-flops) that store its past state.,,,,,,,,,,,,,
100,Logic Design,medium,What is the primary function of a Full Adder circuit?,To add two single-bit numbers,To add three single-bit numbers,To subtract two single-bit numbers,To multiply two single-bit numbers,b,A Full Adder is a combinational logic circuit that performs the addition of three input bits (two operand bits and a carry-in bit) and produces a sum and a carry-out bit.,,,,,,,,,,,,,
101,Logic Design,hard,What is the difference between a D-type flip-flop and a T-type flip-flop?,D-type stores a bit; T-type toggles the state,D-type is a master-slave flip-flop; T-type is not,D-type is edge-triggered; T-type is level-triggered,D-type is used in counters; T-type is used in registers,a,A D-type flip-flop stores the value of its D input when a clock pulse arrives. A T-type flip-flop (toggle) changes its state (from 0 to 1 or 1 to 0) with each clock pulse if its T input is high.,,,,,,,,,,,,,
102,Logic Design,hard,What is 'race around condition' in a JK flip-flop and how is it resolved?,It occurs when J and K are different; resolved by using an inverter,It occurs when J and K are both 1 and the clock pulse is long; resolved with an edge-triggered or master-slave design,It occurs when J and K are both 0; resolved with an AND gate,It occurs when the clock frequency is too high; resolved by lowering the clock speed,b,"A race around condition happens in a level-triggered JK flip-flop when both J and K inputs are 1 and the clock pulse is high for too long, causing the output to toggle multiple times. This is resolved by using edge-triggered or master-slave flip-flops.",,,,,,,,,,,,,
103,Logic Design,hard,What is the purpose of a 'carry-lookahead' adder?,To add numbers in parallel,To perform subtraction efficiently,To speed up the addition process by reducing propagation delay,To prevent overflow in addition,c,"A carry-lookahead adder is a type of adder that improves speed by computing the carry bits for multiple stages simultaneously, reducing the propagation delay that plagues a ripple-carry adder.",,,,,,,,,,,,,
104,Logic Design,hard,What is the canonical form of a Boolean expression?,The simplest form of the expression,A sum of minterms or a product of maxterms,A form that is easy to implement in hardware,A form that is logically equivalent to the original expression,b,"The canonical form of a Boolean expression is a standardized form that is a sum of minterms (SOP) or a product of maxterms (POS). This form is unique for each expression, making it useful for comparisons and conversions.",,,,,,,,,,,,,
105,Logic Design,hard,What is a state machine?,A circuit that can hold multiple states,A circuit whose output depends on its inputs and its current state,A circuit used to control other circuits,A circuit that performs a specific sequence of operations,b,"A state machine is a sequential circuit whose output at any given time depends not only on its current inputs but also on its current state. The state is a summary of the circuit's past inputs, which is stored in memory elements like flip-flops.",,,,,,,,,,,,,
106,DSA,easy,What is the time complexity of pushing an element to a stack?,O(n),O(log n),O(1),O(n^2),c,"A push operation on a stack is a constant time operation, O(1), because you only need to add an element to the top, which takes a single step regardless of the stack's size.",,,,,,,,,,,,,
107,DSA,easy,What is the time complexity of searching an element in a sorted array using binary search?,O(1),O(n),O(log n),O(n log n),c,"Binary search is a highly efficient algorithm for searching a sorted array. It repeatedly divides the search interval in half, leading to a logarithmic time complexity of O(log n).",,,,,,,,,,,,,
108,DSA,easy,What is a hash collision?,When two different keys produce the same hash value,When a hash table runs out of memory,When a hash function is not defined,When two hash tables are merged,a,A hash collision occurs when two different input keys produce the same output hash value. It is a common problem in hash tables that requires a collision resolution strategy to handle.,,,,,,,,,,,,,
110,DSA,easy,"Which data structure is best for implementing an ""Undo"" feature in a text editor?",Queue,Stack,Array,Linked List,b,"A stack is a perfect fit for an Undo"" feature because it operates on a Last-In",,,,,,,,,,,,,
